UserID,Region,SignupDate,PlanType,revenueperuser
U001,North America,2024-01-15,Premium,89.99
U002,Europe,2024-02-10,Basic,19.99
U003,Asia,2023-11-03,Standard,39.99
U004,South America,2024-01-20,Basic,14.99
U005,Europe,2024-03-15,Premium,99.99
U006,Africa,2024-04-01,Standard,34.99
U007,North America,2024-01-25,Basic,24.99
U008,Asia,2024-02-14,Premium,79.99
U009,Europe,2023-12-10,Standard,44.99
U010,Oceania,2024-03-05,Basic,18.99
U011,North America,2024-02-28,Premium,109.99
U012,Asia,2024-03-17,Standard,39.99
U013,Europe,2024-01-05,Basic,19.99
U014,South America,2024-04-02,Standard,29.99
U015,Africa,2024-02-08,Basic,12.99
U016,Oceania,2024-03-11,Premium,89.99
U017,Asia,2023-12-30,Standard,49.99
U018,Europe,2024-01-29,Premium,99.99
U019,North America,2024-04-04,Basic,19.99
U020,South America,2024-02-12,Standard,39.99
U021,Africa,2024-03-25,Basic,14.99
U022,Asia,2024-01-22,Premium,79.99
U023,Europe,2024-02-01,Standard,34.99
U024,Oceania,2024-01-18,Premium,89.99
U025,North America,2024-03-20,Basic,19.99
U026,South America,2024-04-01,Standard,39.99
U027,Africa,2024-02-17,Premium,109.99
U028,Asia,2024-03-02,Standard,44.99
U029,Europe,2024-01-09,Basic,24.99
U030,North America,2024-02-05,Premium,99.99